					ZCE Futures Historical Data(2025AP)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2025-01-02 |AP501        |6,327.00   |5,818.00 |5,848.00 |5,701.00 |5,713.00 |5,738.00  |-614.00   |-589.00   |271       |431         |-128     |1,555.04     |6,725.00               
2025-01-02 |AP503        |6,899.00   |6,898.00 |6,900.00 |6,668.00 |6,765.00 |6,752.00  |-134.00   |-147.00   |4,087     |5,726       |-102     |27,599.11    |                       
2025-01-02 |AP504        |6,957.00   |6,957.00 |7,009.00 |6,847.00 |6,901.00 |6,919.00  |-56.00    |-38.00    |335       |488         |-19      |2,317.87     |                       
2025-01-02 |AP505        |7,058.00   |7,090.00 |7,115.00 |7,029.00 |7,080.00 |7,069.00  |22.00     |11.00     |69,017    |106,997     |-8,862   |487,887.79   |                       
2025-01-02 |AP510        |7,397.00   |7,450.00 |7,484.00 |7,420.00 |7,438.00 |7,451.00  |41.00     |54.00     |481       |1,723       |-27      |3,583.79     |                       
2025-01-02 |AP511        |7,314.00   |7,334.00 |7,429.00 |7,334.00 |7,393.00 |7,399.00  |79.00     |85.00     |94        |335         |20       |695.50       |                       
2025-01-02 |AP512        |7,394.00   |7,470.00 |7,482.00 |7,459.00 |7,459.00 |7,468.00  |65.00     |74.00     |6         |19          |0        |44.81        |                       
2025-01-03 |AP501        |5,738.00   |5,650.00 |5,799.00 |5,602.00 |5,749.00 |5,674.00  |11.00     |-64.00    |61        |351         |-80      |346.10       |6,543.00               
2025-01-03 |AP503        |6,752.00   |6,760.00 |6,782.00 |6,452.00 |6,672.00 |6,586.00  |-80.00    |-166.00   |8,216     |7,890       |2,164    |54,121.27    |                       
2025-01-03 |AP504        |6,919.00   |6,900.00 |6,900.00 |6,600.00 |6,769.00 |6,713.00  |-150.00   |-206.00   |261       |509         |21       |1,752.12     |                       
2025-01-03 |AP505        |7,069.00   |7,080.00 |7,096.00 |6,723.00 |6,884.00 |6,887.00  |-185.00   |-182.00   |220,503   |134,690     |27,693   |1,518,542.83 |                       
2025-01-03 |AP510        |7,451.00   |7,426.00 |7,448.00 |7,268.00 |7,360.00 |7,343.00  |-91.00    |-108.00   |1,026     |1,990       |267      |7,533.50     |                       
2025-01-03 |AP511        |7,399.00   |7,388.00 |7,388.00 |7,267.00 |7,341.00 |7,317.00  |-58.00    |-82.00    |203       |443         |108      |1,485.40     |                       
2025-01-03 |AP512        |7,468.00   |7,470.00 |7,470.00 |7,320.00 |7,410.00 |7,383.00  |-58.00    |-85.00    |26        |25          |6        |191.97       |                       
2025-01-06 |AP501        |5,674.00   |5,976.00 |6,066.00 |5,976.00 |6,060.00 |6,011.00  |386.00    |337.00    |22        |219         |-132     |132.24       |6,399.00               
2025-01-06 |AP503        |6,586.00   |6,680.00 |6,846.00 |6,629.00 |6,701.00 |6,732.00  |115.00    |146.00    |6,158     |6,248       |-1,642   |41,453.47    |                       
2025-01-06 |AP504        |6,713.00   |6,806.00 |6,912.00 |6,780.00 |6,798.00 |6,838.00  |85.00     |125.00    |199       |468         |-41      |1,360.83     |                       
2025-01-06 |AP505        |6,887.00   |6,900.00 |7,048.00 |6,900.00 |6,935.00 |6,972.00  |48.00     |85.00     |135,161   |112,813     |-21,877  |942,297.05   |                       
2025-01-06 |AP510        |7,343.00   |7,378.00 |7,428.00 |7,345.00 |7,367.00 |7,387.00  |24.00     |44.00     |793       |2,110       |120      |5,858.20     |                       
2025-01-06 |AP511        |7,317.00   |7,332.00 |7,394.00 |7,332.00 |7,337.00 |7,367.00  |20.00     |50.00     |49        |446         |3        |360.98       |                       
2025-01-06 |AP512        |7,383.00   |7,442.00 |7,442.00 |7,412.00 |7,412.00 |7,428.00  |29.00     |45.00     |3         |25          |0        |22.29        |                       
2025-01-07 |AP501        |6,011.00   |6,010.00 |6,299.00 |5,990.00 |6,200.00 |6,067.00  |189.00    |56.00     |40        |74          |-145     |242.70       |6,294.00               
2025-01-07 |AP503        |6,732.00   |6,786.00 |6,808.00 |6,701.00 |6,789.00 |6,770.00  |57.00     |38.00     |1,836     |6,064       |-184     |12,430.36    |                       
2025-01-07 |AP504        |6,838.00   |6,839.00 |6,877.00 |6,808.00 |6,823.00 |6,846.00  |-15.00    |8.00      |47        |457         |-11      |321.78       |                       
2025-01-07 |AP505        |6,972.00   |6,981.00 |6,994.00 |6,910.00 |6,939.00 |6,960.00  |-33.00    |-12.00    |69,696    |108,588     |-4,225   |485,063.24   |                       
2025-01-07 |AP510        |7,387.00   |7,348.00 |7,396.00 |7,311.00 |7,317.00 |7,353.00  |-70.00    |-34.00    |343       |2,150       |40       |2,521.99     |                       
2025-01-07 |AP511        |7,367.00   |7,349.00 |7,351.00 |7,306.00 |7,319.00 |7,343.00  |-48.00    |-24.00    |59        |479         |33       |433.23       |                       
2025-01-07 |AP512        |7,428.00   |0.00     |0.00     |0.00     |0.00     |7,375.00  |-53.00    |-53.00    |0         |25          |0        |0.00         |                       
2025-01-08 |AP501        |6,067.00   |6,200.00 |6,482.00 |6,050.00 |6,050.00 |6,216.00  |-17.00    |149.00    |22        |62          |-12      |136.75       |6,242.00               
2025-01-08 |AP503        |6,770.00   |6,770.00 |6,790.00 |6,566.00 |6,604.00 |6,651.00  |-166.00   |-119.00   |2,414     |6,336       |272      |16,056.68    |                       
2025-01-08 |AP504        |6,846.00   |6,826.00 |6,826.00 |6,646.00 |6,691.00 |6,718.00  |-155.00   |-128.00   |163       |474         |17       |1,094.97     |                       
2025-01-08 |AP505        |6,960.00   |6,930.00 |6,942.00 |6,733.00 |6,782.00 |6,826.00  |-178.00   |-134.00   |105,351   |118,231     |9,643    |719,089.02   |                       
